Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
2013,6.95,18.61,40001,1,1,0,0
2015,4.5,7.7,40588,1,1,0,0
2014,18.75,35.96,78000,2,1,1,0
2015,23.5,35.96,47000,2,1,1,0
2017,33.0,36.23,6000,2,1,1,0
2014,4.75,6.95,45000,2,1,0,0
2017,19.75,23.15,11000,1,1,1,0
2010,9.25,20.45,59000,2,1,0,0
2011,4.35,13.74,88000,1,1,0,0
2016,14.25,20.91,12000,1,1,0,0
2014,3.95,6.76,71000,2,1,0,0
2011,4.5,12.48,45000,2,1,0,0
2013,7.45,18.61,56001,1,1,0,0
2011,2.65,5.71,43000,1,1,0,0
2014,4.9,8.93,83000,2,1,0,0
2015,3.95,6.8,36000,1,1,0,0
2013,5.5,14.68,72000,1,1,0,0
2004,1.5,12.35,135154,1,1,1,0
2010,5.25,22.83,80000,1,1,1,0
2012,14.5,30.61,89000,2,1,1,0
2016,14.73,14.89,23000,2,1,0,0
2015,4.75,7.85,40000,2,1,0,0
2017,23.0,25.39,15000,2,1,1,0
2015,12.5,13.46,38000,2,1,0,0
2005,3.49,13.46,197176,2,1,0,0
2006,2.5,23.73,142000,1,0,1,3
2010,35.0,92.6,78000,2,1,0,0
2012,5.9,13.74,56000,1,1,0,0
2013,3.45,6.05,47000,1,1,0,0
2014,4.75,6.76,40000,1,1,0,0
2009,3.8,18.61,62000,1,1,0,0
2014,11.25,16.09,58242,2,1,0,0
2005,3.51,13.7,75000,1,1,0,0
2015,23.0,30.61,40000,2,1,1,0
2008,4.0,22.78,89000,1,1,1,0
2012,5.85,18.61,72000,1,1,0,0
2016,20.75,25.39,29000,2,1,1,0
2017,17.0,18.64,8700,1,1,0,0
2013,7.05,18.61,45000,1,1,0,0
2010,9.65,20.45,50024,2,1,0,0
2016,1.75,1.9,3000,1,0,0,0
2017,1.7,1.82,1400,1,0,0,0
2017,1.65,1.78,4000,1,0,0,0
2017,1.45,1.6,1200,1,0,0,0
2017,1.35,1.47,4100,1,0,0,0
2015,1.35,2.37,21700,1,0,0,0
2014,1.35,3.45,16500,1,0,0,1
2013,1.25,1.5,15000,1,0,0,0
2016,1.2,1.5,18000,1,0,0,0
2017,1.2,1.47,11000,1,0,0,0
2016,1.2,1.78,6000,1,0,0,0
2016,1.15,1.5,8700,1,0,0,0
2014,1.15,2.4,7000,1,0,0,0
2016,1.15,1.4,35000,1,0,0,0
2015,1.15,1.47,17000,1,0,0,0
2015,1.11,1.47,17500,1,0,0,0
2013,1.1,1.47,33000,1,0,0,0
2015,1.1,1.9,14000,1,0,0,0
2015,1.1,1.47,26000,1,0,0,0
2013,1.05,1.9,5400,1,0,0,0
2016,1.05,1.26,5700,1,0,0,0
2011,1.05,1.5,6900,1,0,0,0
2016,1.05,1.17,6000,1,0,0,0
2013,1.0,1.47,46500,1,0,0,0
2012,0.95,1.75,11500,1,0,0,0
2009,0.9,1.75,40000,1,0,0,0
2017,0.9,0.95,1300,1,0,0,0
2016,0.75,0.8,7000,1,0,0,0
2017,0.8,0.87,3000,1,0,0,0
2017,0.78,0.84,5000,1,0,0,0
2017,0.75,0.87,11000,1,0,0,0
2015,0.75,0.82,18000,1,0,0,0
2017,0.75,0.95,3500,1,0,0,0
2016,0.72,0.95,500,1,0,0,0
2017,0.65,0.81,11800,1,0,0,0
2015,0.65,0.74,5000,1,0,0,0
2014,0.65,1.2,23500,1,0,0,0
2013,0.65,0.787,16000,1,0,0,0
2016,0.6,0.87,15000,1,0,0,0
2015,0.6,0.95,16600,1,0,0,0
2013,0.6,1.2,32000,1,0,0,0
2016,0.6,0.8,20000,1,0,0,0
2015,0.6,0.84,29000,1,0,0,0
2016,0.6,0.84,25000,1,0,0,0
2014,0.6,0.99,25000,1,0,0,0
2012,0.6,0.81,19000,1,0,0,0
2014,0.55,0.787,15000,1,0,0,0
2015,0.55,0.84,58000,1,0,0,0
2010,0.52,0.94,45000,1,0,0,0
2016,0.51,0.94,24000,1,0,0,0
2011,0.5,0.826,6000,1,0,0,0
2016,0.5,0.55,31000,1,0,0,0
2012,0.5,0.99,13000,1,0,0,0
2013,0.5,0.99,45000,1,0,0,0
2014,0.5,0.88,8000,1,0,0,0
2017,0.48,0.51,4300,1,0,1,0
2017,0.48,0.52,15000,1,0,0,0
2015,0.48,0.84,23000,1,0,0,0
2017,0.48,0.54,8600,1,0,0,0
2017,0.45,0.51,4000,1,0,1,0
2011,0.45,0.95,24000,1,0,0,0
2014,0.45,0.826,23000,1,0,0,0
2012,0.45,0.99,14500,1,0,0,0
2010,0.45,0.95,27000,1,0,0,0
2016,0.45,0.54,14000,1,0,0,0
2016,0.45,0.54,500,1,0,1,0
2016,0.45,0.55,1000,1,0,0,0
2014,0.42,0.81,42000,1,0,0,0
2013,0.42,0.73,12000,1,0,0,0
2015,0.4,0.54,14000,1,0,0,0
2012,0.4,0.83,5500,1,0,0,0
2015,0.4,0.55,6700,1,0,0,0
2014,0.4,0.64,13700,1,0,0,0
2017,0.4,0.51,1300,1,0,1,0
2015,0.38,0.72,38600,1,0,0,0
2011,0.38,0.787,75000,1,0,0,0
2011,0.35,1.05,30000,1,0,0,0
2016,0.35,0.57,24000,1,0,1,0
2014,0.35,0.52,19000,1,0,1,0
2010,0.31,1.05,213000,1,0,0,0
2012,0.3,0.51,60000,1,0,0,0
2016,0.3,0.48,50000,1,0,0,0
2013,0.3,0.58,30000,1,0,0,0
2013,0.27,0.47,21000,1,0,0,0
2008,0.25,0.75,26000,1,0,0,1
2008,0.25,0.58,1900,1,0,1,0
2010,0.25,0.52,22000,1,0,1,0
2013,0.25,0.51,32000,1,0,0,0
2013,0.25,0.57,18000,1,0,0,0
2005,0.2,0.57,55000,1,0,0,0
2008,0.2,0.75,60000,1,0,0,0
2012,0.2,0.57,25000,1,0,0,1
2007,0.2,0.75,49000,1,0,0,1
2013,0.2,0.65,24000,1,0,0,1
2008,0.2,0.787,50000,1,0,0,0
2015,0.18,0.32,35000,1,0,0,0
2008,0.17,0.52,500000,1,0,1,0
2010,0.16,0.51,33000,1,0,0,0
2011,0.15,0.57,35000,1,0,0,1
2007,0.12,0.58,53000,1,0,0,0
2006,0.1,0.75,92233,1,0,0,0
2010,3.25,6.79,58000,2,1,0,1
2015,4.4,5.7,28200,1,1,0,0
2011,2.95,4.6,53460,1,1,0,0
2015,2.75,4.43,28282,1,1,0,0
2016,5.25,5.7,3493,1,1,0,1
2017,5.75,7.13,12479,1,1,0,0
2015,5.15,5.7,34797,1,1,1,0
2017,7.9,8.1,3435,1,1,0,0
2015,4.85,5.7,21125,2,1,0,0
2012,3.1,4.6,35775,1,1,0,0
2015,11.75,14.79,43535,2,1,0,0
2016,11.25,13.6,22671,1,1,0,0
2011,2.9,6.79,31604,1,1,0,0
2017,5.25,5.7,20114,1,1,0,0
2012,4.5,9.4,36100,1,1,0,0
2016,2.9,4.43,12500,1,1,0,0
2016,3.15,4.43,15000,1,1,0,0
2014,6.45,9.4,45078,1,1,0,0
2012,4.5,9.4,36000,1,1,0,0
2017,3.5,4.43,38488,1,1,0,0
2013,4.5,6.79,32000,1,1,1,0
2014,6.0,7.6,77632,2,1,0,0
2015,8.25,9.4,61381,2,1,0,0
2013,5.11,9.4,36198,1,1,1,0
2011,2.7,4.6,22517,1,1,0,0
2015,5.25,5.7,24678,1,1,0,0
2011,2.55,4.43,57000,1,1,0,0
2012,4.95,9.4,60000,2,1,0,0
2012,3.1,6.79,52132,2,1,0,0
2013,6.15,9.4,45000,2,1,0,0
2017,9.25,9.4,15001,1,1,0,0
2015,11.45,14.79,12900,1,1,1,0
2013,3.9,5.7,53000,2,1,0,0
2015,5.5,5.7,4492,1,1,0,0
2017,9.1,9.4,15141,1,1,0,0
2016,3.1,4.43,11849,1,1,0,0
2015,11.25,13.6,68000,2,1,0,0
2013,4.8,9.4,60241,1,1,0,0
2012,2.0,4.43,23709,1,1,0,0
2012,5.35,9.4,32322,2,1,0,0
2015,4.75,7.13,35866,1,1,0,1
2014,4.4,7.13,34000,1,1,0,0
2016,6.25,7.6,7000,1,1,0,0
2013,5.95,9.4,49000,2,1,0,0
2012,5.2,9.4,71000,2,1,0,0
2012,3.75,6.79,35000,1,1,0,0
2015,5.95,9.4,36000,1,1,0,0
2013,4.0,4.6,30000,1,1,0,0
2016,5.25,7.6,17000,1,1,0,0
2016,12.9,13.6,35934,2,1,0,0
2013,5.0,9.9,56701,1,1,0,0
2015,5.4,6.82,31427,1,1,1,0
2014,7.2,9.9,48000,2,1,0,0
2013,5.25,9.9,54242,1,1,0,0
2012,3.0,5.35,53675,1,1,0,0
2016,10.25,13.6,49562,1,1,0,0
2015,8.5,13.6,40324,1,1,0,0
2015,8.4,13.6,25000,1,1,0,0
2014,3.9,7.0,36054,1,1,0,0
2016,9.15,13.6,29223,1,1,0,0
2016,5.5,5.97,5600,1,1,0,0
2015,4.0,5.8,40023,1,1,0,0
2016,6.6,7.7,16002,1,1,0,0
2015,4.0,7.0,40026,1,1,0,0
2017,6.5,8.7,21200,1,1,0,0
2014,3.65,7.0,35000,1,1,0,0
2016,8.35,9.4,19434,2,1,0,0
2017,4.8,5.8,19000,1,1,0,0
2015,6.7,10.0,18828,1,1,0,0
2011,4.1,10.0,69341,1,1,0,0
2009,3.0,10.0,69562,1,1,0,0
2015,7.5,10.0,27600,1,1,0,0
2010,2.25,7.5,61203,1,1,0,0
2014,5.3,6.8,16500,1,1,0,0
2016,10.9,13.6,30753,1,1,1,0
2015,8.65,13.6,24800,1,1,0,0
2015,9.7,13.6,21780,1,1,0,0
2016,6.0,8.4,4000,1,1,0,0
2014,6.25,13.6,40126,1,1,0,0
2015,5.25,5.9,14465,1,1,0,0
2006,2.1,7.6,50456,1,1,0,0
2014,8.25,14.0,63000,2,1,0,0
2016,8.99,11.8,9010,1,1,0,0
2013,3.5,5.9,9800,1,1,0,0
2016,7.4,8.5,15059,1,1,1,0
2016,5.65,7.9,28569,1,1,0,0
2015,5.75,7.5,44000,1,1,1,0
2015,8.4,13.6,34000,1,1,0,0
2016,10.11,13.6,10980,1,1,0,0
2014,4.5,6.4,19000,1,1,0,0
2015,5.4,6.1,31427,1,1,0,0
2016,6.4,8.4,12000,1,1,0,0
2010,3.25,9.9,38000,1,1,0,0
2014,3.75,6.8,33019,1,1,0,0
2015,8.55,13.09,60076,2,1,0,0
2016,9.5,11.6,33988,2,1,0,0
2015,4.0,5.9,60000,1,1,0,0
2009,3.35,11.0,87934,1,1,0,0
2017,11.5,12.5,9000,2,1,0,0
2016,5.3,5.9,5464,1,1,0,0
